T35,Net disbursements of official development assistance from donors,,,,,
392,Japan,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,148",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
392,Japan,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,797",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
392,Japan,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"14,489",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
392,Japan,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"13,126",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
392,Japan,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"11,058",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
392,Japan,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"9,203",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
392,Japan,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"11,720",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
392,Japan,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"13,660",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
392,Japan,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"15,750",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
392,Japan,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.58,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
392,Japan,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.87,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
392,Japan,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.79,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
